time,gFx,gFy,gFz,TgF
0.002000,0.2160,0.8070,0.6203,1.040
0.002000,0.2214,0.8070,0.6251,1.045
0.005000,0.2116,0.8060,0.6300,1.045
0.007000,0.2068,0.8153,0.6276,1.049
0.010000,0.2112,0.8153,0.6203,1.046
0.012000,0.2058,0.8231,0.6217,1.052
0.018000,0.1960,0.8211,0.6344,1.056
0.018000,0.1906,0.8177,0.6325,1.051
0.020000,0.1916,0.8236,0.6217,1.050
0.023000,0.1872,0.8241,0.6286,1.053
0.025000,0.1862,0.8221,0.6232,1.048
0.027000,0.1960,0.8128,0.6188,1.040
0.030000,0.1872,0.8128,0.6251,1.042
0.032000,0.1848,0.8163,0.6388,1.053
0.035000,0.1838,0.8236,0.6315,1.054
0.037000,0.1784,0.8231,0.6349,1.055
0.042000,0.1882,0.8251,0.6354,1.058
0.043000,0.1799,0.8309,0.6349,1.061
0.044000,0.1818,0.8216,0.6349,1.054
0.048000,0.1852,0.8334,0.6388,1.066
0.049000,0.1789,0.8319,0.6398,1.065
0.052000,0.1823,0.8324,0.6427,1.067
0.054000,0.1784,0.8407,0.6447,1.074
0.057000,0.1833,0.8392,0.6427,1.073
0.059000,0.1764,0.8392,0.6383,1.069
0.062000,0.1848,0.8441,0.6266,1.067
0.065000,0.1813,0.8407,0.6364,1.070
0.067000,0.1848,0.8285,0.6379,1.062
0.070000,0.1838,0.8158,0.6403,1.053
0.072000,0.1603,0.8451,0.6349,1.069
0.074000,0.1403,0.8456,0.6359,1.067
0.077000,0.1466,0.8559,0.6295,1.073
0.079000,0.1510,0.8539,0.6291,1.071
0.082000,0.1603,0.8554,0.6227,1.070
0.085000,0.1672,0.8485,0.6207,1.065
0.087000,0.1721,0.8505,0.6183,1.065
0.089000,0.1716,0.8446,0.6124,1.057
0.092000,0.1725,0.8490,0.6178,1.064
0.094000,0.1764,0.8417,0.6120,1.055
0.097000,0.1828,0.8387,0.6129,1.055
0.099000,0.1735,0.8417,0.6134,1.056
0.102000,0.1818,0.8329,0.6095,1.048
0.104000,0.1711,0.8275,0.6129,1.044
0.107000,0.1716,0.8216,0.6071,1.036
0.109000,0.1608,0.8202,0.6012,1.030
0.111000,0.1598,0.8236,0.6066,1.035
0.115000,0.1598,0.8172,0.6041,1.029
0.116000,0.1559,0.8163,0.6080,1.030
0.119000,0.1559,0.8158,0.6032,1.026
0.124000,0.1569,0.8089,0.6002,1.019
0.124000,0.1574,0.8177,0.5978,1.025
0.127000,0.1593,0.8084,0.5997,1.019
0.129000,0.1564,0.8016,0.5953,1.011
0.132000,0.1593,0.8021,0.5934,1.010
0.134000,0.1721,0.7996,0.5988,1.014
0.137000,0.1725,0.8026,0.6002,1.017
0.139000,0.1804,0.8124,0.5953,1.023
0.141000,0.1662,0.8089,0.6017,1.022
0.144000,0.1838,0.8050,0.5948,1.018
0.146000,0.1877,0.8211,0.6012,1.035
0.156000,0.1950,0.8158,0.6032,1.033
0.156000,0.1901,0.8211,0.6085,1.040
0.157000,0.2014,0.8304,0.6012,1.045
0.157000,0.2014,0.8260,0.6061,1.044
0.159000,0.1994,0.8314,0.6071,1.049
0.161000,0.2019,0.8251,0.6027,1.041
0.164000,0.2038,0.8290,0.6007,1.044
0.166000,0.2019,0.8216,0.6061,1.041
0.169000,0.2024,0.8226,0.6173,1.048
0.171000,0.1960,0.8280,0.6100,1.047
0.173000,0.1975,0.8255,0.6066,1.043
0.176000,0.1931,0.8290,0.6207,1.053
0.178000,0.1882,0.8290,0.6154,1.049
0.181000,0.1882,0.8280,0.6149,1.048
0.183000,0.1862,0.8202,0.6149,1.042
0.186000,0.1867,0.8099,0.6168,1.035
0.189000,0.1779,0.8128,0.6149,1.035
0.191000,0.1764,0.8109,0.6144,1.033
0.194000,0.1662,0.8172,0.6188,1.038
0.196000,0.1667,0.8119,0.6110,1.030
0.199000,0.1564,0.8109,0.6007,1.021
0.204000,0.1554,0.8060,0.5992,1.016
0.205000,0.1476,0.7987,0.5968,1.008
0.206000,0.1447,0.7918,0.5978,1.003
0.208000,0.1413,0.7972,0.5958,1.005
0.211000,0.1369,0.7889,0.5963,0.998
0.213000,0.1310,0.7840,0.5934,0.992
0.216000,0.1369,0.7772,0.5841,0.982
0.218000,0.1300,0.7723,0.5865,0.978
0.221000,0.1285,0.7737,0.5958,0.985
0.223000,0.1281,0.7654,0.5836,0.971
0.225000,0.1237,0.7645,0.5909,0.974
0.228000,0.1276,0.7635,0.5934,0.975
0.230000,0.0943,0.7884,0.6095,1.001
0.233000,0.0797,0.7908,0.6061,1.000
0.236000,0.1295,0.7645,0.5650,0.959
0.238000,0.1574,0.7586,0.5616,0.957
0.241000,0.1813,0.7503,0.5826,0.967
0.243000,0.1896,0.7552,0.5753,0.968
0.246000,0.1989,0.7586,0.5772,0.974
0.248000,0.2038,0.7513,0.5909,0.977
0.250000,0.1823,0.7767,0.5826,0.988
0.253000,0.1872,0.7737,0.5836,0.987
0.256000,0.1789,0.7962,0.6046,1.016
0.258000,0.1677,0.8221,0.5890,1.025
0.260000,0.1784,0.8202,0.5978,1.030
0.263000,0.1823,0.8368,0.6012,1.046
0.268000,0.1774,0.8505,0.6032,1.058
0.268000,0.1755,0.8715,0.5983,1.072
0.270000,0.1848,0.8734,0.6090,1.081
0.273000,0.1901,0.8852,0.6144,1.094
0.275000,0.1896,0.8901,0.6110,1.096
0.278000,0.1833,0.8994,0.6168,1.106
0.284000,0.1852,0.8915,0.6134,1.098
0.284000,0.1764,0.9033,0.6325,1.117
0.285000,0.1735,0.9135,0.6242,1.120
0.288000,0.1711,0.9047,0.6320,1.117
0.290000,0.1637,0.9072,0.6354,1.120
0.293000,0.1461,0.9077,0.6335,1.116
0.295000,0.1393,0.9086,0.6379,1.119
0.298000,0.1364,0.9013,0.6393,1.113
0.302000,0.1178,0.9052,0.6379,1.114
0.303000,0.1129,0.9018,0.6271,1.104
0.305000,0.1036,0.8979,0.6281,1.101
0.308000,0.0909,0.8852,0.6310,1.091
0.310000,0.0753,0.8813,0.6212,1.081
0.312000,0.0298,0.8979,0.6383,1.102
0.315000,0.0122,0.8808,0.6247,1.080
0.318000,0.0249,0.8446,0.6017,1.037
0.320000,0.0401,0.8290,0.5763,1.010
0.324000,0.0244,0.8187,0.6007,1.016
0.325000,0.0303,0.7879,0.5875,0.983
0.327000,0.0332,0.7757,0.5797,0.969
0.330000,0.0313,0.7508,0.5797,0.949
0.333000,0.0337,0.7337,0.5641,0.926
0.335000,0.0347,0.7224,0.5748,0.924
0.340000,0.0459,0.6994,0.5665,0.901
0.341000,0.0440,0.6941,0.5738,0.902
0.342000,0.0440,0.6779,0.5797,0.893
0.345000,0.0406,0.6643,0.5787,0.882
0.347000,0.0386,0.6584,0.5851,0.882
0.350000,0.0464,0.6442,0.5924,0.876
0.352000,0.0347,0.6462,0.6017,0.884
0.357000,0.0357,0.6437,0.6061,0.885
0.357000,0.0274,0.6418,0.6198,0.893
0.362000,0.0279,0.6530,0.6266,0.905
0.362000,0.0249,0.6647,0.6295,0.916
0.365000,0.0279,0.6799,0.6471,0.939
0.367000,0.0313,0.6906,0.6540,0.952
0.370000,0.0332,0.7175,0.6667,0.980
0.372000,0.0391,0.7425,0.6799,1.007
0.375000,0.0523,0.7513,0.6838,1.017
0.377000,0.0611,0.7801,0.6843,1.039
0.380000,0.0714,0.7962,0.7063,1.067
0.382000,0.0787,0.8158,0.7102,1.084
0.385000,0.0890,0.8270,0.7224,1.102
0.387000,0.0958,0.8510,0.7297,1.125
0.390000,0.1041,0.8656,0.7327,1.139
0.392000,0.1080,0.8803,0.7425,1.157
0.394000,0.1090,0.8852,0.7586,1.171
0.397000,0.1158,0.8945,0.7718,1.187
0.399000,0.1144,0.9042,0.7605,1.187
0.402000,0.1124,0.9116,0.7825,1.207
0.405000,0.1193,0.9209,0.7757,1.210
0.407000,0.1198,0.9218,0.7776,1.212
0.409000,0.1173,0.9316,0.7776,1.219
0.412000,0.1134,0.9218,0.7757,1.210
0.414000,0.1124,0.9262,0.7713,1.211
0.425000,0.1110,0.9253,0.7674,1.207
0.426000,0.1031,0.9248,0.7713,1.209
0.427000,0.1026,0.9189,0.7532,1.193
0.427000,0.0943,0.9106,0.7542,1.186
0.428000,0.0875,0.9008,0.7439,1.172
0.429000,0.0909,0.8969,0.7459,1.170
0.432000,0.0914,0.8739,0.7307,1.143
0.434000,0.0846,0.8710,0.7293,1.139
0.437000,0.0894,0.8485,0.7229,1.118
0.440000,0.0855,0.8417,0.7249,1.114
0.444000,0.0846,0.8226,0.7180,1.095
0.446000,0.0870,0.8021,0.7224,1.083
0.448000,0.0885,0.7845,0.7190,1.068
0.449000,0.0826,0.7684,0.7278,1.062
0.451000,0.0880,0.7547,0.7190,1.046
0.454000,0.0772,0.7410,0.7307,1.044
0.457000,0.0762,0.7209,0.7214,1.023
0.459000,0.0699,0.7038,0.7258,1.013
0.461000,0.0787,0.6936,0.7273,1.008
0.464000,0.0787,0.6843,0.7224,0.998
0.467000,0.0753,0.6701,0.7244,0.990
0.469000,0.0660,0.6687,0.7117,0.979
0.471000,0.0733,0.6515,0.7122,0.968
0.474000,0.0679,0.6530,0.7107,0.968
0.476000,0.0767,0.6423,0.7014,0.954
0.479000,0.0665,0.6261,0.6936,0.937
0.481000,0.0758,0.6276,0.6828,0.931
0.484000,0.0714,0.6247,0.6818,0.927
0.486000,0.0762,0.6178,0.6735,0.917
0.489000,0.0723,0.6134,0.6740,0.914
0.492000,0.0606,0.6144,0.6667,0.909
0.494000,0.0655,0.6056,0.6643,0.901
0.496000,0.0567,0.5973,0.6501,0.885
0.499000,0.0596,0.5914,0.6579,0.887
0.501000,0.0528,0.5870,0.6545,0.881
0.503000,0.0411,0.5821,0.6457,0.870
0.506000,0.0327,0.5733,0.6354,0.856
0.508000,0.0332,0.5665,0.6349,0.852
0.511000,0.0279,0.5601,0.6256,0.840
0.513000,0.0249,0.5567,0.6134,0.829
0.516000,0.0171,0.5504,0.6183,0.828
0.518000,0.0122,0.5479,0.6110,0.821
0.525000,0.0108,0.5421,0.6124,0.818
0.525000,0.0103,0.5337,0.6061,0.808
0.526000,0.0073,0.5337,0.5997,0.803
0.528000,0.0039,0.5333,0.5968,0.800
0.531000,0.0059,0.5337,0.5944,0.799
0.533000,-0.0020,0.5391,0.5924,0.801
0.536000,-0.0024,0.5264,0.5880,0.789
0.538000,0.0024,0.5367,0.5802,0.790
0.541000,0.0005,0.5406,0.5782,0.792
0.543000,-0.0034,0.5425,0.5714,0.788
0.546000,-0.0029,0.5401,0.5645,0.781
0.549000,-0.0029,0.5469,0.5616,0.784
0.554000,-0.0122,0.5538,0.5494,0.780
0.554000,-0.0078,0.5582,0.5372,0.775
0.556000,-0.0020,0.5645,0.5367,0.779
0.559000,-0.0083,0.5665,0.5235,0.771
0.561000,-0.0059,0.5704,0.5210,0.773
0.563000,-0.0044,0.5719,0.5152,0.770
0.566000,-0.0024,0.5826,0.5162,0.778
0.568000,-0.0049,0.5826,0.5069,0.772
0.571000,-0.0020,0.5821,0.5044,0.770
0.573000,-0.0049,0.5851,0.5020,0.771
0.576000,-0.0029,0.5904,0.4961,0.771
0.578000,-0.0049,0.5875,0.4932,0.767
0.580000,-0.0044,0.5831,0.4946,0.765
0.583000,-0.0020,0.5865,0.4863,0.762
0.585000,-0.0068,0.5807,0.4829,0.755
0.588000,-0.0020,0.5782,0.4746,0.748
0.590000,-0.0064,0.5753,0.4604,0.737
0.593000,-0.0054,0.5724,0.4595,0.734
0.595000,-0.0054,0.5768,0.4575,0.736
0.598000,-0.0093,0.5728,0.4463,0.726
0.603000,-0.0117,0.5753,0.4438,0.727
0.603000,-0.0152,0.5724,0.4404,0.722
0.605000,-0.0054,0.5685,0.4399,0.719
0.608000,-0.0176,0.5665,0.4384,0.717
0.610000,-0.0137,0.5689,0.4443,0.722
0.613000,-0.0161,0.5670,0.4326,0.713
0.615000,-0.0152,0.5616,0.4296,0.707
0.618000,-0.0064,0.5626,0.4282,0.707
0.620000,-0.0044,0.5557,0.4233,0.699
0.623000,0.0024,0.5572,0.4331,0.706
0.625000,-0.0059,0.5621,0.4169,0.700
0.627000,-0.0005,0.5557,0.4194,0.696
0.630000,0.0098,0.5660,0.4155,0.702
0.632000,0.0161,0.5738,0.4106,0.706
0.635000,0.0235,0.5758,0.4130,0.709
0.637000,0.0181,0.5748,0.4086,0.705
0.640000,0.0293,0.5870,0.4067,0.715
0.642000,0.0352,0.5914,0.3974,0.713
0.645000,0.0376,0.5895,0.4052,0.716
0.647000,0.0352,0.6027,0.4062,0.728
0.650000,0.0386,0.5997,0.4116,0.728
0.654000,0.0464,0.6076,0.4145,0.737
0.655000,0.0484,0.6100,0.4076,0.735
0.658000,0.0518,0.6056,0.4208,0.739
0.660000,0.0547,0.6183,0.4189,0.749
0.662000,0.0513,0.6188,0.4223,0.751
0.665000,0.0494,0.6207,0.4223,0.752
0.667000,0.0562,0.6281,0.4228,0.759
0.670000,0.0508,0.6330,0.4252,0.764
0.673000,0.0464,0.6354,0.4238,0.765
0.675000,0.0479,0.6388,0.4252,0.769
0.678000,0.0396,0.6447,0.4238,0.773
0.682000,0.0430,0.6515,0.4228,0.778
0.683000,0.0357,0.6525,0.4311,0.783
0.685000,0.0367,0.6569,0.4228,0.782
0.687000,0.0425,0.6643,0.4160,0.785
0.690000,0.0415,0.6721,0.4106,0.789
0.692000,0.0503,0.6760,0.4111,0.793
0.695000,0.0508,0.6906,0.4096,0.805
0.697000,0.0567,0.6882,0.4135,0.805
0.700000,0.0567,0.6946,0.4174,0.812
0.702000,0.0684,0.7117,0.4218,0.830
0.705000,0.0728,0.7175,0.4311,0.840
0.707000,0.0821,0.7190,0.4291,0.841
0.709000,0.0836,0.7273,0.4541,0.861
0.712000,0.0885,0.7415,0.4683,0.881
0.715000,0.0904,0.7532,0.4741,0.895
0.717000,0.0870,0.7718,0.4912,0.919
0.719000,0.0821,0.7811,0.4995,0.931
0.722000,0.0846,0.7977,0.5039,0.947
0.724000,0.0679,0.8099,0.5240,0.967
0.727000,0.0557,0.8451,0.5289,0.998
0.729000,0.0508,0.8583,0.5308,1.010
0.732000,0.0313,0.8808,0.5313,1.029
0.734000,0.0196,0.9052,0.5293,1.049
0.737000,0.0034,0.9262,0.5147,1.060
0.739000,-0.0127,0.9536,0.5137,1.083
0.742000,-0.0283,0.9732,0.5186,1.103
0.744000,-0.0469,0.9908,0.5098,1.115
0.747000,-0.0596,1.0186,0.5103,1.141
0.749000,-0.0782,1.0313,0.4981,1.148
0.752000,-0.0821,1.0426,0.4868,1.154
0.754000,-0.1002,1.0528,0.4736,1.159
0.757000,-0.1085,1.0611,0.4599,1.162
0.759000,-0.1134,1.0709,0.4194,1.156
0.764000,-0.1119,1.0665,0.4145,1.150
0.765000,-0.1188,1.0685,0.3954,1.145
0.766000,-0.1007,1.0616,0.3729,1.130
0.769000,-0.0792,1.0641,0.3637,1.127
0.772000,-0.0591,1.0563,0.3495,1.114
0.774000,-0.0318,1.0484,0.3568,1.108
0.776000,0.0005,1.0347,0.3573,1.095
0.779000,0.0332,1.0343,0.3754,1.101
0.781000,0.0679,1.0338,0.3940,1.108
0.784000,0.0968,1.0323,0.4067,1.114
0.786000,0.1310,1.0313,0.4409,1.129
0.789000,0.1613,1.0362,0.4560,1.144
0.791000,0.1906,1.0362,0.4878,1.161
0.794000,0.2204,1.0494,0.5137,1.189
0.796000,0.2346,1.0655,0.5293,1.213
0.799000,0.2527,1.0748,0.5430,1.230
0.801000,0.2600,1.0831,0.5548,1.244
0.805000,0.2693,1.0934,0.5601,1.258
0.806000,0.2649,1.1081,0.5694,1.274
0.813000,0.2639,1.1178,0.5606,1.278
0.813000,0.2547,1.1291,0.5660,1.288
0.814000,0.2459,1.1330,0.5567,1.286
0.816000,0.2405,1.1281,0.5416,1.274
0.819000,0.2156,1.1320,0.5377,1.272
0.821000,0.2043,1.1315,0.5220,1.263
0.823000,0.1916,1.1281,0.5196,1.257
0.826000,0.1755,1.1149,0.5034,1.236
0.829000,0.1608,1.0973,0.5069,1.219
0.831000,0.1422,1.0822,0.5059,1.203
0.834000,0.1388,1.0704,0.5049,1.192
0.836000,0.1232,1.0465,0.4927,1.163
0.839000,0.1183,1.0445,0.4898,1.160
0.843000,0.1124,1.0255,0.4951,1.144
0.844000,0.1095,1.0172,0.4868,1.133
0.846000,0.1070,1.0152,0.4878,1.131
0.848000,0.1085,1.0084,0.4976,1.130
0.851000,0.1129,1.0015,0.4898,1.121
0.853000,0.1070,1.0157,0.4951,1.135
0.856000,0.1110,1.0098,0.4961,1.131
0.858000,0.1119,1.0215,0.5015,1.143
0.861000,0.1212,1.0445,0.4927,1.161
0.863000,0.1163,1.0533,0.4951,1.170
0.866000,0.1178,1.0714,0.4922,1.185
0.868000,0.1149,1.0954,0.4966,1.208
0.871000,0.1158,1.1139,0.4849,1.220
0.873000,0.1271,1.1296,0.4834,1.235
0.875000,0.1222,1.1540,0.4834,1.257
0.878000,0.1271,1.1848,0.4712,1.281
0.881000,0.1320,1.2185,0.4726,1.314
0.884000,0.1388,1.2493,0.4619,1.339
0.887000,0.1398,1.2767,0.4712,1.368
0.888000,0.1574,1.3197,0.4629,1.407
0.891000,0.1740,1.3485,0.4678,1.438
0.893000,0.1892,1.3891,0.4741,1.480
0.896000,0.2072,1.4419,0.4878,1.536
0.898000,0.2146,1.4869,0.4966,1.582
0.901000,0.2253,1.5206,0.5098,1.620
0.903000,0.2366,1.5621,0.5186,1.663
0.905000,0.2356,1.5841,0.5279,1.686
0.908000,0.2405,1.5944,0.5391,1.700
0.910000,0.2341,1.5905,0.5421,1.697
0.913000,0.2278,1.5660,0.5430,1.673
0.915000,0.2151,1.5177,0.5553,1.630
0.918000,0.1955,1.4551,0.5553,1.570
0.923000,0.1745,1.3896,0.5518,1.505
0.923000,0.1491,1.3192,0.5557,1.439
0.926000,0.1276,1.2479,0.5660,1.376
0.928000,0.1080,1.1667,0.5685,1.302
0.930000,0.0880,1.0998,0.5719,1.243
0.933000,0.0650,1.0435,0.5665,1.189
0.935000,0.0455,0.9898,0.5699,1.143
0.939000,0.0303,0.9463,0.5611,1.101
0.940000,0.0166,0.9052,0.5587,1.064
0.944000,-0.0005,0.8637,0.5469,1.022
0.945000,-0.0181,0.8158,0.5347,0.976
0.948000,-0.0254,0.7791,0.5328,0.944
0.950000,-0.0455,0.7473,0.5259,0.915
0.953000,-0.0513,0.7166,0.5157,0.884
0.955000,-0.0660,0.6858,0.5127,0.859
0.958000,-0.0787,0.6506,0.4971,0.823
0.960000,-0.0821,0.6222,0.4971,0.801
0.963000,-0.0953,0.6002,0.4844,0.777
0.965000,-0.1051,0.5797,0.4902,0.766
0.967000,-0.1017,0.5680,0.4741,0.747
0.970000,-0.1026,0.5465,0.4678,0.727
0.973000,-0.1002,0.5298,0.4526,0.704
0.975000,-0.0948,0.5308,0.4384,0.695
0.978000,-0.0919,0.5249,0.4301,0.685
0.980000,-0.0855,0.5259,0.4208,0.679
0.982000,-0.0743,0.5279,0.4096,0.672
0.985000,-0.0572,0.5328,0.3974,0.667
0.987000,-0.0337,0.5430,0.3773,0.662
0.990000,-0.0171,0.5513,0.3710,0.665
0.993000,0.0103,0.5724,0.3651,0.679
0.995000,0.0323,0.5856,0.3500,0.683
0.997000,0.0621,0.6036,0.3397,0.695
1.002000,0.0846,0.6188,0.3265,0.705
1.002000,0.1134,0.6418,0.3211,0.727
1.005000,0.1437,0.6633,0.3118,0.747
1.007000,0.1613,0.6794,0.3035,0.761
1.010000,0.1921,0.7019,0.2894,0.783
1.012000,0.2072,0.7122,0.2752,0.791
1.015000,0.2312,0.7288,0.2639,0.809
1.017000,0.2444,0.7420,0.2542,0.821
1.020000,0.2556,0.7469,0.2517,0.829
1.022000,0.2610,0.7478,0.2371,0.827
1.025000,0.2713,0.7537,0.2268,0.833
1.027000,0.2776,0.7459,0.2273,0.828
1.030000,0.2679,0.7517,0.2136,0.826
1.032000,0.2620,0.7381,0.2175,0.813
1.035000,0.2512,0.7429,0.2072,0.811
1.037000,0.2419,0.7312,0.2072,0.798
1.039000,0.2180,0.7185,0.1896,0.774
1.042000,0.2126,0.7073,0.2097,0.768
1.044000,0.2004,0.6867,0.1945,0.741
1.047000,0.1804,0.6809,0.2024,0.733
1.049000,0.1579,0.6823,0.2024,0.729
1.052000,0.1432,0.6779,0.2058,0.723
1.055000,0.1281,0.6652,0.2126,0.710
1.057000,0.1075,0.6652,0.2116,0.706
1.059000,0.0963,0.6657,0.2014,0.702
1.062000,0.0733,0.6701,0.2121,0.707
1.064000,0.0723,0.6770,0.2107,0.713
1.067000,0.0587,0.6828,0.2097,0.717
1.069000,0.0455,0.6980,0.2156,0.732
1.072000,0.0406,0.7117,0.2209,0.746
1.074000,0.0235,0.7229,0.2224,0.757
1.077000,0.0249,0.7400,0.2219,0.773
1.079000,0.0220,0.7527,0.2273,0.787
1.084000,0.0205,0.7708,0.2449,0.809
1.086000,0.0235,0.7860,0.2473,0.824
1.087000,0.0142,0.8153,0.2517,0.853
1.090000,0.0264,0.8260,0.2547,0.865
1.092000,0.0147,0.8441,0.2542,0.882
1.094000,0.0210,0.8642,0.2595,0.903
1.097000,0.0230,0.8847,0.2683,0.925
1.100000,0.0298,0.9062,0.2620,0.944
1.102000,0.0205,0.9165,0.2615,0.953
1.104000,0.0254,0.9326,0.2674,0.970
1.106000,0.0274,0.9360,0.2669,0.974
1.109000,0.0269,0.9453,0.2693,0.983
1.111000,0.0293,0.9419,0.2625,0.978
1.114000,0.0249,0.9536,0.2610,0.989
1.116000,0.0332,0.9487,0.2688,0.987
1.119000,0.0406,0.9477,0.2649,0.985
1.122000,0.0430,0.9433,0.2723,0.983
1.124000,0.0455,0.9385,0.2723,0.978
1.127000,0.0543,0.9341,0.2942,0.981
1.129000,0.0557,0.9292,0.2947,0.976
1.133000,0.0518,0.9272,0.3070,0.978
1.134000,0.0616,0.9184,0.3206,0.975
1.136000,0.0645,0.9165,0.3329,0.977
1.139000,0.0645,0.9287,0.3299,0.988
1.141000,0.0670,0.9277,0.3436,0.992
1.145000,0.0738,0.9311,0.3544,0.999
1.146000,0.0714,0.9399,0.3583,1.008
1.149000,0.0719,0.9595,0.3632,1.028
1.151000,0.0728,0.9692,0.3822,1.044
1.154000,0.0709,0.9834,0.3705,1.053
1.156000,0.0684,1.0064,0.3866,1.080
1.159000,0.0709,1.0362,0.3900,1.109
1.163000,0.0719,1.0528,0.3920,1.126
1.165000,0.0684,1.0846,0.3905,1.155
1.166000,0.0704,1.1120,0.3832,1.178
1.168000,0.0616,1.1398,0.3930,1.207
1.171000,0.0645,1.1716,0.3852,1.235
1.173000,0.0572,1.2024,0.3847,1.264
1.176000,0.0562,1.2210,0.3852,1.282
1.178000,0.0552,1.2542,0.3915,1.315
1.181000,0.0611,1.2645,0.3896,1.325
1.183000,0.0552,1.2796,0.3891,1.339
1.186000,0.0552,1.2967,0.3993,1.358
1.189000,0.0533,1.3060,0.3993,1.367
1.191000,0.0538,1.2987,0.4052,1.361
1.193000,0.0596,1.2860,0.4091,1.351
1.196000,0.0484,1.2777,0.4199,1.346
1.200000,0.0533,1.2694,0.4267,1.340
1.201000,0.0518,1.2567,0.4316,1.330
1.203000,0.0533,1.2337,0.4443,1.312
1.206000,0.0513,1.2361,0.4458,1.315
1.208000,0.0577,1.2298,0.4565,1.313
1.211000,0.0528,1.2254,0.4619,1.311
1.213000,0.0582,1.2244,0.4658,1.311
1.216000,0.0582,1.2219,0.4800,1.314
1.218000,0.0606,1.2210,0.4751,1.312
1.221000,0.0699,1.2288,0.4873,1.324
1.224000,0.0616,1.2371,0.4893,1.332
1.226000,0.0704,1.2479,0.4946,1.344
1.229000,0.0635,1.2645,0.5078,1.364
1.231000,0.0660,1.2679,0.5122,1.369
1.233000,0.0621,1.2821,0.5230,1.386
1.236000,0.0528,1.2918,0.5352,1.399
1.238000,0.0445,1.2977,0.5538,1.412
1.243000,0.0337,1.3046,0.5538,1.418
1.244000,0.0230,1.2948,0.5738,1.416
1.246000,0.0112,1.2982,0.5782,1.421
1.248000,-0.0034,1.2933,0.5875,1.421
1.251000,-0.0117,1.2767,0.5978,1.410
1.253000,-0.0308,1.2645,0.5978,1.399
1.256000,-0.0484,1.2425,0.6095,1.385
1.258000,-0.0587,1.2244,0.6090,1.369
1.260000,-0.0694,1.1965,0.6134,1.346
1.263000,-0.0787,1.1696,0.6159,1.324
1.265000,-0.0909,1.1501,0.6212,1.310
1.268000,-0.1022,1.1188,0.6124,1.280
1.270000,-0.1105,1.0939,0.6110,1.258
1.273000,-0.1158,1.0763,0.6036,1.239
1.275000,-0.1232,1.0460,0.5978,1.211
1.278000,-0.1285,1.0294,0.5963,1.197
1.280000,-0.1359,1.0118,0.5846,1.176
1.283000,-0.1369,0.9942,0.5743,1.156
1.285000,-0.1373,0.9800,0.5694,1.142
1.288000,-0.1398,0.9663,0.5685,1.130
1.290000,-0.1388,0.9658,0.5509,1.121
1.292000,-0.1398,0.9619,0.5425,1.113
1.296000,-0.1437,0.9668,0.5318,1.113
1.297000,-0.1422,0.9692,0.5308,1.114
1.300000,-0.1364,0.9844,0.5235,1.123
1.302000,-0.1373,0.9976,0.5201,1.133
1.305000,-0.1281,1.0098,0.5176,1.142
1.307000,-0.1168,1.0362,0.5152,1.163
1.310000,-0.1017,1.0475,0.5078,1.169
1.313000,-0.1002,1.0758,0.5039,1.192
1.315000,-0.0806,1.0870,0.4981,1.198
1.317000,-0.0728,1.1076,0.4898,1.213
1.322000,-0.0587,1.1222,0.4858,1.224
1.324000,-0.0367,1.1315,0.4888,1.233
1.325000,-0.0293,1.1374,0.4849,1.237
1.327000,-0.0161,1.1560,0.4717,1.249
1.330000,-0.0103,1.1672,0.4761,1.261
1.332000,0.0005,1.1677,0.4653,1.257
1.335000,0.0068,1.1828,0.4634,1.270
1.337000,0.0142,1.1848,0.4507,1.268
1.340000,0.0215,1.1912,0.4555,1.275
1.342000,0.0249,1.1902,0.4536,1.274
1.346000,0.0205,1.1916,0.4463,1.273
1.347000,0.0191,1.1828,0.4409,1.262
1.350000,0.0127,1.1828,0.4321,1.259
1.352000,0.0122,1.1755,0.4247,1.250
1.355000,0.0039,1.1721,0.4204,1.245
1.357000,0.0010,1.1569,0.4213,1.231
1.360000,-0.0059,1.1423,0.4150,1.215
1.362000,-0.0093,1.1296,0.4086,1.201
1.364000,-0.0186,1.1203,0.4106,1.193
1.367000,-0.0269,1.1081,0.4057,1.180
1.370000,-0.0367,1.0944,0.4057,1.168
1.372000,-0.0474,1.0807,0.3959,1.152
1.377000,-0.0601,1.0704,0.4047,1.146
1.378000,-0.0650,1.0616,0.3940,1.134
1.381000,-0.0767,1.0445,0.3954,1.119
1.382000,-0.0899,1.0284,0.4008,1.107
1.385000,-0.0982,1.0108,0.3959,1.090
1.387000,-0.1022,0.9981,0.3979,1.079
1.390000,-0.1090,0.9790,0.3915,1.060
1.392000,-0.1222,0.9722,0.3793,1.051
1.394000,-0.1266,0.9575,0.3798,1.038
1.397000,-0.1290,0.9414,0.3685,1.019
1.399000,-0.1427,0.9306,0.3627,1.009
1.404000,-0.1515,0.9165,0.3661,0.998
1.404000,-0.1505,0.9052,0.3544,0.984
1.407000,-0.1613,0.8906,0.3465,0.969
1.409000,-0.1559,0.8725,0.3417,0.950
1.412000,-0.1608,0.8695,0.3324,0.945
1.415000,-0.1574,0.8519,0.3333,0.928
1.417000,-0.1623,0.8485,0.3373,0.927
1.419000,-0.1564,0.8368,0.3324,0.914
1.421000,-0.1559,0.8280,0.3260,0.903
1.424000,-0.1501,0.8207,0.3260,0.896
1.427000,-0.1535,0.8148,0.3285,0.892
1.429000,-0.1501,0.8036,0.3329,0.883
